epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,4005.86,1.18853,0.87015,1.13646,0.68072,0.81892,0.81714,0.5191,1.35572,0.93241,1.28037,0.006436,0.006436,0.006436
146,4032.96,1.20278,0.88091,1.12808,0.65677,0.81812,0.80449,0.52325,1.33685,0.93968,1.27282,0.00641125,0.00641125,0.00641125
147,4059.76,1.19035,0.8804,1.12996,0.65619,0.81811,0.80088,0.51327,1.34923,0.94889,1.27846,0.0063865,0.0063865,0.0063865
148,4086.61,1.20059,0.86929,1.13475,0.69286,0.82361,0.8104,0.51818,1.34315,0.95267,1.27272,0.00636175,0.00636175,0.00636175
149,4113.71,1.19004,0.8772,1.12434,0.67833,0.80195,0.80621,0.5175,1.34945,0.96558,1.27924,0.006337,0.006337,0.006337
150,4140.65,1.2018,0.88101,1.13988,0.65902,0.83163,0.81357,0.52541,1.34066,0.93829,1.27302,0.00631225,0.00631225,0.00631225
151,4167.93,1.19264,0.86779,1.12948,0.63883,0.84827,0.80541,0.51559,1.35894,0.9458,1.28249,0.0062875,0.0062875,0.0062875
152,4195,1.17777,0.88267,1.12381,0.6528,0.83458,0.80444,0.51593,1.36294,0.95072,1.28167,0.00626275,0.00626275,0.00626275
153,4222.23,1.1811,0.88421,1.12552,0.63108,0.88514,0.80748,0.51669,1.36338,0.94295,1.28226,0.006238,0.006238,0.006238
154,4249.19,1.17485,0.87232,1.12133,0.63713,0.85933,0.81914,0.52512,1.36175,0.95422,1.28059,0.00621325,0.00621325,0.00621325
155,4276.56,1.17811,0.85648,1.12212,0.69053,0.77669,0.81128,0.5178,1.3657,0.95595,1.28623,0.0061885,0.0061885,0.0061885
156,4303.57,1.1743,0.87676,1.1237,0.68356,0.80148,0.80579,0.51698,1.35868,0.95361,1.28194,0.00616375,0.00616375,0.00616375
157,4330.78,1.19996,0.87795,1.13765,0.67786,0.81118,0.8084,0.51942,1.34429,0.94203,1.26977,0.006139,0.006139,0.006139
158,4357.72,1.17985,0.86002,1.12273,0.67599,0.823,0.80696,0.51837,1.33688,0.92514,1.27231,0.00611425,0.00611425,0.00611425
159,4384.89,1.18387,0.87241,1.12725,0.66139,0.84227,0.81306,0.52327,1.35254,0.92215,1.27585,0.0060895,0.0060895,0.0060895
160,4412.16,1.17958,0.86806,1.12544,0.67263,0.8375,0.81279,0.5235,1.34787,0.92588,1.27632,0.00606475,0.00606475,0.00606475
161,4439.35,1.18943,0.86904,1.12793,0.67472,0.8275,0.80472,0.51536,1.34718,0.93285,1.27554,0.00604,0.00604,0.00604
162,4466.5,1.18308,0.86321,1.11682,0.6841,0.80725,0.80597,0.5168,1.35869,0.95746,1.28711,0.00601525,0.00601525,0.00601525
163,4493.78,1.18986,0.87455,1.1305,0.67192,0.81859,0.80807,0.51756,1.34629,0.93499,1.27688,0.0059905,0.0059905,0.0059905
164,4520.8,1.14872,0.86431,1.10304,0.6841,0.80767,0.81646,0.52524,1.34972,0.93955,1.28034,0.00596575,0.00596575,0.00596575
165,4547.83,1.16543,0.84963,1.12104,0.67077,0.82011,0.81619,0.52697,1.33903,0.93935,1.27574,0.005941,0.005941,0.005941
166,4574.82,1.17885,0.85289,1.11804,0.66516,0.8199,0.81601,0.52681,1.34488,0.93384,1.2818,0.00591625,0.00591625,0.00591625
167,4602.03,1.18184,0.85252,1.12897,0.66381,0.81686,0.81589,0.52362,1.35058,0.93754,1.2799,0.0058915,0.0058915,0.0058915
168,4628.96,1.18386,0.85626,1.1302,0.65628,0.81692,0.80459,0.52016,1.34786,0.93783,1.2809,0.00586675,0.00586675,0.00586675
169,4656.1,1.17199,0.8512,1.1244,0.65141,0.82096,0.80861,0.51796,1.36714,0.95306,1.28851,0.005842,0.005842,0.005842
170,4683.25,1.16672,0.84807,1.11664,0.67615,0.79983,0.8038,0.51524,1.36537,0.96008,1.2838,0.00581725,0.00581725,0.00581725
171,4710.26,1.15012,0.83826,1.10636,0.66051,0.81362,0.80522,0.51575,1.35731,0.95905,1.28899,0.0057925,0.0057925,0.0057925
172,4737.49,1.14932,0.84211,1.1139,0.69246,0.79915,0.80621,0.51306,1.36591,0.96805,1.29211,0.00576775,0.00576775,0.00576775
173,4764.55,1.15685,0.8502,1.11067,0.66487,0.83928,0.80445,0.51721,1.35213,0.92873,1.27684,0.005743,0.005743,0.005743
174,4791.56,1.17049,0.85841,1.11749,0.6668,0.81539,0.80359,0.51245,1.36055,0.9412,1.28261,0.00571825,0.00571825,0.00571825
175,4818.69,1.1513,0.84217,1.1184,0.67075,0.82086,0.80138,0.51626,1.34909,0.94051,1.27775,0.0056935,0.0056935,0.0056935
176,4845.78,1.1536,0.84002,1.10978,0.64585,0.83679,0.80185,0.51718,1.34434,0.95016,1.28043,0.00566875,0.00566875,0.00566875
177,4872.97,1.14775,0.83608,1.10705,0.65397,0.84844,0.7998,0.51138,1.35101,0.97152,1.28278,0.005644,0.005644,0.005644
178,4900.13,1.14253,0.8419,1.11167,0.66598,0.83833,0.80514,0.51585,1.36175,0.95806,1.29337,0.00561925,0.00561925,0.00561925
179,4927.12,1.16438,0.83723,1.11443,0.65733,0.81516,0.7996,0.50883,1.37431,0.96687,1.2924,0.0055945,0.0055945,0.0055945
180,4954.32,1.16254,0.8329,1.10863,0.64858,0.83624,0.80102,0.50982,1.37357,0.95834,1.29512,0.00556975,0.00556975,0.00556975
181,4981.42,1.1653,0.8481,1.11568,0.65219,0.82526,0.8054,0.51302,1.37793,0.96479,1.2918,0.005545,0.005545,0.005545
